type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	6	宁夏	电信	nx-ct-v6.ibsgss.uk	240e:91c:0:5:8000:0:b00:228	80	nx-ct-v6.ip.zstaticcdn.com	bak.nx-ct-v6.ibsgss.uk		80	yinchuan-ct-v6.ip.zstaticcdn.com
cdn	6	宁夏	联通	nx-cu-v6.ibsgss.uk	2408:8778:109:2:8000:0:b00:95	80	nx-cu-v6.ip.zstaticcdn.com	bak.nx-cu-v6.ibsgss.uk		80	yinchuan-cu-v6.ip.zstaticcdn.com
cdn	6	宁夏	移动	nx-cm-v6.ibsgss.uk	2409:8c7a:a01:70:8000:0:b00:86	80	nx-cm-v6.ip.zstaticcdn.com	bak.nx-cm-v6.ibsgss.uk		80	yinchuan-cm-v6.ip.zstaticcdn.com
cdn	6	新疆	电信	xj-ct-v6.ibsgss.uk	240e:bf:c800:2904:8000:0:b00:77	80	xj-ct-v6.ip.zstaticcdn.com	bak.xj-ct-v6.ibsgss.uk		80	wlmq-ct-v6.ip.zstaticcdn.com
cdn	6	新疆	联通	xj-cu-v6.ibsgss.uk	2408:877a:2000:30:8000:0:b00:74	80	xj-cu-v6.ip.zstaticcdn.com	bak.xj-cu-v6.ibsgss.uk		80	wlmq-cu-v6.ip.zstaticcdn.com
cdn	6	新疆	移动	xj-cm-v6.ibsgss.uk	2409:8c70:3a10:2:8000:0:b00:74	80	xj-cm-v6.ip.zstaticcdn.com	bak.xj-cm-v6.ibsgss.uk		80	wlmq-cm-v6.ip.zstaticcdn.com
cdn	6	北京	电信	bj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:137	80	bj-ct-v6.ip.zstaticcdn.com	bak.bj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:137	80	bj-ct-v6.ip.zstaticcdn.com
cdn	6	北京	联通	bj-cu-v6.ibsgss.uk	2408:8706:0:dd80::b00:90	80	bj-cu-v6.ip.zstaticcdn.com	bak.bj-cu-v6.ibsgss.uk	2408:8706:0:dd80::b00:90	80	bj-cu-v6.ip.zstaticcdn.com
cdn	6	北京	移动	bj-cm-v6.ibsgss.uk	2409:8c10:c00:1b:8000:0:b00:181	80	bj-cm-v6.ip.zstaticcdn.com	bak.bj-cm-v6.ibsgss.uk	2409:8c10:c00:1b:8000:0:b00:181	80	bj-cm-v6.ip.zstaticcdn.com
cdn	6	天津	电信	tj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:123	80	tj-ct-v6.ip.zstaticcdn.com	bak.tj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:123	80	tj-ct-v6.ip.zstaticcdn.com
cdn	6	天津	联通	tj-cu-v6.ibsgss.uk	2408:871a:4800:40f::b00:98	80	tj-cu-v6.ip.zstaticcdn.com	bak.tj-cu-v6.ibsgss.uk	2408:871a:4800:40f::b00:98	80	tj-cu-v6.ip.zstaticcdn.com
cdn	6	天津	移动	tj-cm-v6.ibsgss.uk	2409:8c02:11c:38::b00:146	80	tj-cm-v6.ip.zstaticcdn.com	bak.tj-cm-v6.ibsgss.uk	2409:8c02:11c:38::b00:146	80	tj-cm-v6.ip.zstaticcdn.com
cdn	6	上海	电信	sh-ct-v6.ibsgss.uk	240e:96c:1100:6a80::b00:94	80	sh-ct-v6.ip.zstaticcdn.com	bak.sh-ct-v6.ibsgss.uk	240e:96c:1100:6a80::b00:94	80	sh-ct-v6.ip.zstaticcdn.com
cdn	6	上海	联通	sh-cu-v6.ibsgss.uk	2408:873c:6810:5:8000:0:b00:221	80	sh-cu-v6.ip.zstaticcdn.com	bak.sh-cu-v6.ibsgss.uk	2408:873c:6810:5:8000:0:b00:221	80	sh-cu-v6.ip.zstaticcdn.com
cdn	6	上海	移动	sh-cm-v6.ibsgss.uk	2409:8c1e:75b0:2003:8000:0:b00:319	80	sh-cm-v6.ip.zstaticcdn.com	bak.sh-cm-v6.ibsgss.uk	2409:8c1e:75b0:2003:8000:0:b00:319	80	sh-cm-v6.ip.zstaticcdn.com
cdn	6	重庆	电信	cq-ct-v6.ibsgss.uk	240e:933:8001:480::b00:97	80	cq-ct-v6.ip.zstaticcdn.com	bak.cq-ct-v6.ibsgss.uk	240e:933:8001:480::b00:97	80	cq-ct-v6.ip.zstaticcdn.com
cdn	6	重庆	联通	cq-cu-v6.ibsgss.uk	2408:8763:0:2c5:8000:0:b00:63	80	cq-cu-v6.ip.zstaticcdn.com	bak.cq-cu-v6.ibsgss.uk	2408:8763:0:2c5:8000:0:b00:63	80	cq-cu-v6.ip.zstaticcdn.com
cdn	6	重庆	移动	cq-cm-v6.ibsgss.uk	2409:8c50:a00:2084:8000:0:b00:86	80	cq-cm-v6.ip.zstaticcdn.com	bak.cq-cm-v6.ibsgss.uk	2409:8c50:a00:2084:8000:0:b00:86	80	cq-cm-v6.ip.zstaticcdn.com
